"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"76","T.J. Yeldon JAC","17.518","14.829","15.027","18.613","20.57","17.817","20.86","BYE","18.314","20.28","23.72","14.928","20.86","14.631","17.518","28.11","14.829"
"77","Wendell Smallwood PHI","21.05","18.315","15.725","20.28","14.928","16.222","21.05","28.11","19.312","BYE","14.332","16.123","14.631","17.817","15.725","19.611","14.332"
"78","Wayne Gallman NYG","14.332","15.824","16.720","19.99","20.28","19.312","14.631","BYE","17.817","28.11","18.315","21.05","19.611","14.332","16.720","14.928","21.05"
"79","Jeremy McNichols TB","18.116","16.123","15.526","15.725","14.830","14.928","21.73","16.222","21.74","18.613","BYE","19.710","16.421","15.824","19.710","16.222","21.74"
"80","Jeremy Langford CHI","19.710","19.99","20.57","16.421","15.526","15.027","16.222","21.74","BYE","16.421","15.824","16.720","28.11","18.314","15.824","23.72","15.526"
"81","Branden Oliver LAC","19.312","18.116","18.315","16.720","15.725","19.611","19.312","14.830","BYE","17.019","21.73","14.332","23.72","21.05","18.315","18.613","19.611"
"82","Kenyan Drake MIA","19.99","20.28","18.613","21.74","14.829","19.710","18.613","15.027","19.611","16.222","BYE","14.830","19.312","14.830","21.73","18.315","21.73"
"83","Chris Carson SEA","16.421","28.11","14.829","20.86","17.817","BYE","15.725","17.518","21.05","14.928","19.710","28.11","16.720","17.019","17.817","14.332","14.928"
"84","Damien Williams MIA","19.99","20.28","18.613","21.74","14.829","19.710","18.613","15.027","19.611","16.222","BYE","14.830","19.312","14.830","21.73","18.315","21.73"
"85","De'Angelo Henderson DEN","20.28","14.332","21.73","19.611","BYE","15.725","20.28","18.315","16.720","14.830","18.314","19.611","18.116","18.613","20.86","21.05","18.315"
"86","Donnel Pumphrey PHI","21.05","18.315","15.725","20.28","14.928","16.222","21.05","28.11","19.312","BYE","14.332","16.123","14.631","17.817","15.725","19.611","14.332"
"87","Orleans Darkwa NYG","14.332","15.824","16.720","19.99","20.28","19.312","14.631","BYE","17.817","28.11","18.315","21.05","19.611","14.332","16.720","14.928","21.05"
"88","Aaron Jones GB","14.631","19.710","18.314","16.123","14.332","15.526","21.74","BYE","15.824","16.123","15.027","20.57","19.99","23.72","16.222","15.526","15.824"
"89","Kyle Juszczyk SF","16.222","14.631","17.817","14.928","20.86","21.05","14.332","16.720","14.928","15.725","BYE","14.631","16.123","17.518","14.829","17.019","17.817"
