"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"80","Brandon LaFell CIN","24.110","19.528","27.71","24.011","21.623","BYE","18.630","22.322","19.827","26.23","13.532","24.011","18.630","25.26","19.429","23.219","24.110"
"81","Eli Rogers PIT","24.011","19.429","25.26","24.110","19.827","23.612","18.431","23.219","BYE","22.322","26.23","27.71","18.431","24.110","20.226","19.528","24.011"
"82","Jaron Brown ARI","23.219","22.322","22.721","25.65","26.92","23.416","25.17","BYE","25.65","23.613","19.528","19.827","25.17","26.23","23.218","20.625","23.613"
"83","Tyler Boyd CIN","24.110","19.528","27.71","24.011","21.623","BYE","18.630","22.322","19.827","26.23","13.532","24.011","18.630","25.26","19.429","23.219","24.110"
"84","Chris Conley KC","20.226","26.92","20.824","23.218","19.528","18.630","23.514","13.532","22.721","BYE","20.625","21.623","22.920","23.514","20.824","24.68","13.532"
"85","JuJu Smith-Schuster PIT","24.011","19.429","25.26","24.110","19.827","23.612","18.431","23.219","BYE","22.322","26.23","27.71","18.431","24.110","20.226","19.528","24.011"
"86","Michael Floyd MIN","23.515","18.630","23.416","23.219","25.26","27.71","24.110","24.011","BYE","23.218","25.17","23.219","23.317","24.39","18.431","27.71","25.26"
"87","Curtis Samuel CAR","25.65","21.623","23.515","20.226","23.219","26.92","25.26","23.416","23.317","24.68","BYE","22.920","23.515","19.429","27.71","23.416","23.317"
"88","Travis Benjamin LAC","13.532","24.68","23.612","26.92","20.625","23.514","13.532","20.226","BYE","19.827","21.623","22.721","24.011","23.218","23.612","22.920","23.514"
"89","Laquon Treadwell MIN","23.515","18.630","23.416","23.219","25.26","27.71","24.110","24.011","BYE","23.218","25.17","23.219","23.317","24.39","18.431","27.71","25.26"
"90","Kendall Wright CHI","23.317","23.416","18.630","27.71","19.429","24.110","24.39","23.515","BYE","27.71","23.219","26.92","25.65","18.431","23.219","24.011","19.429"
"91","Chris Hogan NE","23.612","23.515","19.528","24.39","23.416","22.920","23.317","20.824","BYE","13.532","23.514","24.68","21.623","24.68","18.630","21.623","22.920"
"92","Braxton Miller HOU","19.827","18.431","20.226","26.23","23.612","24.011","BYE","23.613","22.322","25.17","25.74","24.110","26.23","25.65","19.827","18.630","22.322"
"93","Terrance Williams DAL","20.625","13.532","25.74","25.17","27.71","BYE","25.65","23.218","23.612","23.317","26.92","20.824","23.218","20.625","23.514","23.613","26.92"
